Name,GPU Name,Architecture,Foundry,Process Size,Transistor Count,Die Size,Release Date,Generation,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Memory Bandwidth,Shading Units,TMUs,ROPs,Compute Units,L0 Cache,L1 Cache,L2 Cache,L3 Cache,Pixel Rate,Texture Rate,Floating Point Performance 32-bit,Floating Point Performance 64-bit,TDP,DirectX,OpenGL,Vulkan,Shader Model,SMM Count,SM Count,Tensor Cores,RT Cores
Radeon R9 M365X,Tropo,GCN 1.0,TSMC,28.0,1500000.0,123.0,2015-05-05 00:00:00,Gem System,900.0,925.0,1125.0,4096.0,DDR5,128.0,72.0,640.0,40.0,16.0,10.0,,16.0,0.25,,14.8,37.0,1.184,74.0,,12,4.6,1.2.170,6.0,,,,
Radeon R9 M370X Mac Edition,Tropo,GCN 1.0,TSMC,28.0,1500000.0,123.0,2015-05-05 00:00:00,Gem System,775.0,800.0,1125.0,2048.0,DDR5,128.0,72.0,640.0,40.0,16.0,10.0,,16.0,0.25,,12.8,32.0,1.024,64.0,,12,4.6,1.2.170,6.0,,,,
Radeon R9 M375,Tropo,GCN 1.0,TSMC,28.0,1500000.0,123.0,2015-05-05 00:00:00,Gem System,1000.0,1015.0,900.0,2048.0,DDR3,128.0,28.8,640.0,40.0,16.0,10.0,,16.0,0.25,,16.24,40.6,1.299,81.2,,12,4.6,1.2.170,6.0,,,,
Radeon R9 M375X,Tropo,GCN 1.0,TSMC,28.0,1500000.0,123.0,2015-05-05 00:00:00,Gem System,925.0,1015.0,1125.0,2048.0,DDR5,128.0,72.0,640.0,40.0,16.0,10.0,,16.0,0.25,,16.24,40.6,1.299,81.2,,12,4.6,1.2.170,6.0,,,,
Radeon R9 M380,Strato,GCN 2.0,TSMC,28.0,2080000.0,160.0,2015-05-05 00:00:00,Gem System,900.0,1000.0,1500.0,4096.0,DDR5,128.0,96.0,768.0,48.0,16.0,12.0,,16.0,0.25,,16.0,48.0,1536.0,96.0,,12,4.6,1.2.170,6.0,,,,
Radeon R9 M380 Mac Edition,Strato,GCN 2.0,TSMC,28.0,2080000.0,160.0,2015-05-05 00:00:00,Gem System,900.0,1021.0,1568.0,2048.0,DDR5,128.0,100.4,768.0,48.0,16.0,12.0,,16.0,0.25,,16.34,49.01,1568.0,98.02,,12,4.6,1.2.170,6.0,,,,
Radeon R9 M385,Strato,GCN 2.0,TSMC,28.0,2080000.0,160.0,2015-05-05 00:00:00,Gem System,900.0,1000.0,1200.0,4096.0,DDR5,128.0,76.8,896.0,56.0,16.0,14.0,,16.0,0.25,,16.0,56.0,1792.0,112.0,,12,4.6,1.2.170,6.0,,,,
Radeon R9 M385X,Strato,GCN 2.0,TSMC,28.0,2080000.0,160.0,2015-05-05 00:00:00,Gem System,1000.0,1100.0,1200.0,4096.0,DDR5,128.0,76.8,896.0,56.0,16.0,14.0,,16.0,0.25,,17.6,61.6,1971.0,123.2,,12,4.6,1.2.170,6.0,,,,
Radeon R9 M390 Mac Edition,Pitcairn,GCN 1.0,TSMC,28.0,2800000.0,212.0,2015-05-05 00:00:00,Gem System,,,1365.0,2048.0,DDR5,256.0,174.7,1024.0,64.0,32.0,16.0,,16.0,0.5,,30.66,61.31,1962.0,122.6,80.0,12,4.6,1.2.170,6.0,,,,
Radeon R9 M390X,Amethyst,GCN 3.0,TSMC,28.0,5000000.0,366.0,2015-05-05 00:00:00,Gem System,,,1250.0,4096.0,DDR5,256.0,160.0,2048.0,128.0,32.0,32.0,,16.0,0.5,,23.14,92.54,2961.0,185.1,75.0,12,4.6,1.2.170,6.0,,,,
Radeon R9 M395 Mac Edition,Amethyst,GCN 3.0,TSMC,28.0,5000000.0,366.0,2015-05-05 00:00:00,Gem System,,,1365.0,2048.0,DDR5,256.0,174.7,1792.0,112.0,32.0,28.0,,,,,26.69,93.41,2989.0,373.6,250.0,12,4.6,1.2.170,6.0,,,,
Radeon R9 M395X,Amethyst,GCN 3.0,TSMC,28.0,5000000.0,366.0,2015-05-05 00:00:00,Gem System,,,1250.0,8192.0,DDR5,256.0,160.0,2048.0,128.0,32.0,32.0,,16.0,0.5,,23.14,92.54,2961.0,185.1,75.0,12,4.6,1.2.170,6.0,,,,
Radeon R9 M395X Mac Edition,Amethyst,GCN 3.0,TSMC,28.0,5000000.0,366.0,2015-05-05 00:00:00,Gem System,,,1365.0,4096.0,DDR5,256.0,174.7,2048.0,128.0,32.0,32.0,,16.0,0.5,,29.09,116.4,3723.0,232.7,250.0,12,4.6,1.2.170,6.0,,,,
HD Graphics 12EU Mobile,Broadwell GT1,Generation 8.0,Intel,14.0,,82.0,2015-01-05 00:00:00,HD Graphics-M,100.0,800.0,,,shared,,,96.0,12.0,2.0,,,,,,1.6,9.6,153.6,38.4,6.0,12,4.4,1.0,5.0,,,,
HD Graphics 12EU Mobile,Braswell GT1,Generation 8.0,Intel,14.0,,,2015-04-01 00:00:00,HD Graphics-T,,,,,shared,,,96.0,12.0,2.0,,,,,,1.0,6.0,96.0,24.0,6.0,12,4.3,1.0,5.0,,,,
HD Graphics 400 Mobile,Braswell GT1,Generation 8.0,Intel,14.0,,,2015-04-01 00:00:00,HD Graphics-T,320.0,600.0,,,shared,,,96.0,12.0,2.0,,,,,,1.2,7.2,115.2,28.8,6.0,12,4.3,1.0,5.0,,,,
HD Graphics 405 Mobile,Braswell GT1,Generation 8.0,Intel,14.0,,,2015-04-01 00:00:00,HD Graphics-T,200.0,600.0,,,shared,,,128.0,16.0,2.0,,,,,,1.2,9.6,153.6,38.4,6.0,12,4.3,1.0,5.0,,,,
HD Graphics 500 Mobile,Apollo Lake GT1,Generation 9.0,Intel,14.0,,,2015-09-01 00:00:00,HD Graphics-T,200.0,650.0,,,shared,,,96.0,12.0,2.0,,,,,,1.3,7.8,124.8,15.6,6.0,12,4.6,1.3,6.0,,,,
HD Graphics 510 Mobile,Skylake GT1,Generation 9.0,Intel,14.0,,,2015-09-01 00:00:00,HD Graphics-M,300.0,900.0,,,shared,,,96.0,12.0,3.0,,,,,,2.7,10.8,172.8,43.2,15.0,12,4.6,1.3,6.0,,,,
HD Graphics 515 Mobile,Skylake GT2,Generation 9.0,Intel,14.0,,123.0,2015-09-01 00:00:00,HD Graphics-M,300.0,800.0,,,shared,,,192.0,24.0,3.0,,,,,,2.4,19.2,307.2,76.8,15.0,12,4.6,1.3,6.0,,,,
HD Graphics 520 Mobile,Skylake GT2,Generation 9.0,Intel,14.0,,123.0,2015-09-01 00:00:00,HD Graphics-M,300.0,900.0,,,shared,,,192.0,24.0,3.0,,,,,,2.7,21.6,345.6,86.4,15.0,12,4.6,1.3,6.0,,,,
HD Graphics 530 Mobile,Skylake GT2,Generation 9.0,Intel,14.0,,123.0,2015-09-01 00:00:00,HD Graphics-M,350.0,950.0,,,shared,,,192.0,24.0,3.0,,,,,,2.85,22.8,364.8,91.2,15.0,12,4.6,1.3,6.0,,,,
Iris Graphics 540 Mobile,Skylake GT3e,Generation 9.0,Intel,14.0,,,2015-09-01 00:00:00,HD Graphics-M,300.0,1000.0,,,shared,,,384.0,48.0,6.0,,,,,,6.0,48.0,768.0,,15.0,12,4.6,1.3,6.0,,,,
Iris Graphics 550 Mobile,Skylake GT3e,Generation 9.0,Intel,14.0,,,2015-09-01 00:00:00,HD Graphics-M,300.0,1000.0,,,shared,,,384.0,48.0,6.0,,,,,,6.0,48.0,768.0,192.0,15.0,12,4.6,1.3,6.0,,,,
Iris Pro Graphics 580 Mobile,Skylake GT4e,Generation 9.0,Intel,14.0,,,2015-09-01 00:00:00,HD Graphics-M,350.0,950.0,,,shared,,,576.0,72.0,9.0,,,,,,8.55,68.4,1.094,273.6,15.0,12,4.6,1.3,6.0,,,,
Iris Pro Graphics P580 Mobile,Skylake GT4e,Generation 9.0,Intel,14.0,,,2015-09-01 00:00:00,HD Graphics-WM,350.0,1050.0,,,shared,,,576.0,72.0,9.0,,,,,,9.45,75.6,1.21,302.4,15.0,12,4.6,1.3,6.0,,,,
GeForce 810M,GK107,Kepler,TSMC,28.0,1270000.0,118.0,2015-03-21 00:00:00,GeForce 800M,835.0,950.0,900.0,2048.0,DDR3,64.0,14.4,384.0,32.0,16.0,,,16.0,0.25,,7.6,30.4,729.6,30.4,45.0,12,4.6,1.2.175,6.0,,,,
GeForce 820M,GK107,Kepler,TSMC,28.0,1270000.0,118.0,2015-03-21 00:00:00,GeForce 800M,,,901.0,2048.0,DDR3,128.0,28.83,384.0,32.0,16.0,,,16.0,0.25,,6.48,25.92,622.1,25.92,45.0,12,4.6,1.2.175,6.0,,,,
GeForce 845M,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-02-07 00:00:00,GeForce 800M,863.0,863.0,1001.0,2048.0,DDR3,64.0,16.02,512.0,32.0,16.0,,,64.0,1.0,,13.81,27.62,883.7,27.62,45.0,12,4.6,1.3,6.0,4.0,,,
GeForce 845M,GM108,Maxwell,TSMC,28.0,1020000.0,77.0,2015-08-26 00:00:00,GeForce 800M,1071.0,1150.0,1253.0,2048.0,DDR5,64.0,40.1,384.0,32.0,16.0,,,64.0,1.0,,18.4,36.8,883.2,27.6,33.0,12,4.6,1.3,6.0,3.0,,,
GeForce 910M,GK208B,Kepler 2.0,TSMC,28.0,1020000.0,87.0,2015-03-13 00:00:00,GeForce 900M,641.0,641.0,1001.0,2048.0,DDR3,64.0,16.02,384.0,32.0,8.0,,,16.0,0.5,,5.128,20.51,492.3,20.51,33.0,12,4.6,1.2.175,6.0,,,,
GeForce 920A,GK208B,Kepler 2.0,TSMC,28.0,1020000.0,87.0,2015-03-13 00:00:00,GeForce 900A,954.0,954.0,1001.0,1024.0,DDR3,64.0,16.02,384.0,32.0,8.0,,,16.0,0.5,,7.632,30.53,732.7,30.53,33.0,12,4.6,1.2.175,6.0,,,,
GeForce 920M,GK208B,Kepler 2.0,TSMC,28.0,1020000.0,87.0,2015-03-13 00:00:00,GeForce 900M,954.0,954.0,900.0,2048.0,DDR3,64.0,14.4,384.0,32.0,8.0,,,16.0,0.5,,7.632,30.53,732.7,30.53,33.0,12,4.6,1.2.175,6.0,,,,
GeForce 930A,GM108,Maxwell,TSMC,28.0,1020000.0,77.0,2015-03-13 00:00:00,GeForce 900A,928.0,941.0,1001.0,2048.0,DDR3,64.0,16.02,384.0,24.0,8.0,,,64.0,1.0,,7.528,22.58,722.7,22.58,33.0,12,4.6,1.3,6.0,3.0,,,
GeForce 930M,GM108S,Maxwell,TSMC,28.0,1020000.0,77.0,2015-03-13 00:00:00,GeForce 900M,549.0,549.0,800.0,2048.0,DDR3,64.0,12.8,384.0,24.0,8.0,,,64.0,1.0,,4.392,13.18,421.6,13.18,33.0,12,4.6,1.3,6.0,3.0,,,
GeForce 930M,GM108S,Maxwell,TSMC,28.0,1020000.0,77.0,2015-03-13 00:00:00,GeForce 900M,928.0,941.0,900.0,2048.0,DDR3,64.0,14.4,384.0,24.0,8.0,,,64.0,1.0,,7.528,22.58,722.7,22.58,33.0,12,4.6,1.3,6.0,3.0,,,
GeForce 940A,GM108S,Maxwell,TSMC,28.0,1020000.0,77.0,2015-03-13 00:00:00,GeForce 900A,1072.0,1176.0,1001.0,2048.0,DDR3,64.0,16.02,384.0,16.0,8.0,,,64.0,1.0,,9.408,18.82,903.2,28.22,33.0,12,4.6,1.3,6.0,3.0,,,
GeForce 940A,GM108,Maxwell,TSMC,28.0,1020000.0,77.0,2015-03-13 00:00:00,GeForce 900A,1029.0,1124.0,1001.0,1024.0,DDR3,64.0,16.02,384.0,16.0,8.0,,,64.0,1.0,,8.992,17.98,863.2,26.98,33.0,12,4.6,1.3,6.0,3.0,,,
GeForce 940M,GM108S,Maxwell,TSMC,28.0,1020000.0,77.0,2015-03-13 00:00:00,GeForce 900M,1072.0,1176.0,900.0,2048.0,DDR3,64.0,14.4,384.0,24.0,8.0,,,64.0,1.0,,9.408,28.22,903.2,28.22,33.0,12,4.6,1.3,6.0,3.0,,,
GeForce 940M,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-03-13 00:00:00,GeForce 900M,1020.0,1098.0,900.0,2048.0,DDR3,64.0,14.4,512.0,32.0,16.0,,,64.0,2.0,,17.57,35.14,1.124,35.14,75.0,12,4.6,1.3,6.0,4.0,,,
GeForce 945A,GM108,Maxwell,TSMC,28.0,1020000.0,77.0,2015-03-13 00:00:00,GeForce 900A,1006.0,1189.0,1253.0,1024.0,DDR5,64.0,40.1,384.0,24.0,8.0,,,64.0,1.0,,9.512,28.54,913.2,28.54,33.0,12,4.6,1.3,6.0,3.0,,,
GeForce 945M,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-10-27 00:00:00,GeForce 900M,928.0,1020.0,900.0,2048.0,DDR3,128.0,28.8,640.0,40.0,16.0,,,64.0,2.0,,16.32,40.8,1.306,40.8,75.0,12,4.6,1.3,6.0,5.0,,,
GeForce GTX 860M OEM,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-02-05 00:00:00,GeForce 800M,1097.0,1176.0,1253.0,2048.0,DDR5,128.0,80.19,640.0,40.0,16.0,,,64.0,2.0,,18.82,47.04,1505.0,47.04,75.0,12,4.6,1.3,6.0,5.0,,,
GeForce GTX 950A,GM107,Maxwell,TSMC,28.0,1870000.0,148.0,2015-03-13 00:00:00,GeForce 900A,993.0,1124.0,1001.0,2048.0,DDR3,128.0,32.03,640.0,40.0,16.0,,,64.0,2.0,,17.98,44.96,1.439,44.96,75.0,12,4.6,1.3,6.0,5.0,,,
