GPU: Name,GPU: Process Size (nm),GPU: Architecture,GPU: Memory Type,GPU: Memory Frequency (MHz),GPU: Memory Size,GPU: Base Clock,GPU: Memory Bus,GPU: Release quarter,GPU: Power Consumption
geforce rtx 2050 (35w),8.0,GA107,DDR6,1500.0,4.0,832.0,64.0,2022.0,35.0
geforce rtx 2050 (45w),8.0,GA107,DDR6,1750.0,4.0,982.0,64.0,2022.0,45.0
geforce rtx 2050 (60w),8.0,GA107,DDR6,1750.0,4.0,982.0,64.0,2022.0,60.0
geforce rtx 2050 (laptop),8.0,GA107,DDR6,1750.0,4.0,1155.0,64.0,2022.0,45.0
geforce rtx 2060 (laptop),12.0,TU106,DDR6,14000.0,6.0,1005.0,192.0,2019.0,115.0
geforce rtx 2060 (laptop),12.0,TU106,DDR6,14000.0,6.0,1005.0,192.0,2019.0,115.0
"geforce rtx 2060 (laptop, 115w)",12.0,,DDR6,1750.0,6.0,1005.0,192.0,2020.0,115.0
"geforce rtx 2060 (laptop, 80w)",12.0,,DDR6,1750.0,6.0,960.0,192.0,2019.0,80.0
"geforce rtx 2060 (laptop, 90w)",12.0,,DDR6,1750.0,6.0,1005.0,192.0,2019.0,90.0
geforce rtx 2060 max-q,12.0,TU106,DDR6,1375.0,6.0,975.0,192.0,2020.0,65.0
geforce rtx 2070 (laptop),12.0,TU106,DDR6,14000.0,8.0,1215.0,256.0,2019.0,115.0
geforce rtx 2070 (laptop),12.0,TU106,DDR6,14000.0,8.0,1215.0,256.0,2019.0,115.0
geforce rtx 2070 max-q,12.0,TU106,DDR6,1500.0,8.0,885.0,256.0,2019.0,90.0
geforce rtx 2070 super (laptop),12.0,TU104,DDR6,14000.0,8.0,1140.0,256.0,2020.25,115.0
geforce rtx 2070 super (laptop),12.0,TU104,DDR6,14000.0,8.0,1140.0,256.0,2020.25,115.0
geforce rtx 2070 super max-q,12.0,TU104,DDR6,1375.0,8.0,930.0,256.0,2020.25,80.0
geforce rtx 2070 super max-q (90w),12.0,,DDR6,11000.0,8.0,1080.0,256.0,2020.25,90.0
geforce rtx 2080 (laptop),12.0,TU104,DDR6,14000.0,8.0,1380.0,256.0,2019.0,150.0
geforce rtx 2080 (laptop),12.0,TU104,DDR6,14000.0,8.0,1380.0,256.0,2019.0,150.0
geforce rtx 2080 max-q,12.0,TU104,DDR6,1500.0,8.0,735.0,256.0,2019.0,80.0
geforce rtx 2080 super (laptop),12.0,TU104,DDR6,14000.0,8.0,1560.0,256.0,2020.25,200.0
"geforce rtx 2080 super (laptop, 150w)",12.0,TU104,DDR6,14000.0,8.0,1365.0,256.0,2020.25,150.0
geforce rtx 2080 super max-q,12.0,TU104,DDR6,1375.0,8.0,735.0,256.0,2020.25,80.0
geforce rtx 2080 super max-q (80w),12.0,TU104,DDR6,11000.0,8.0,735.0,256.0,2020.25,80.0
geforce rtx 2080 super max-q (90w),12.0,TU104,DDR6,11000.0,8.0,975.0,256.0,2020.25,90.0
geforce rtx 3050 (laptop),8.0,GA107,DDR6,1500.0,4.0,1530.0,128.0,2021.0,80.0
geforce rtx 3050 (laptop),8.0,GA107,DDR6,1500.0,4.0,1530.0,128.0,2021.0,80.0
"geforce rtx 3050 (laptop, 40w)",8.0,GA107,DDR6,1353.0,4.0,712.0,128.0,2021.0,40.0
"geforce rtx 3050 (laptop, 45w)",8.0,GA107,DDR6,1353.0,4.0,712.0,128.0,2021.0,45.0
"geforce rtx 3050 (laptop, 45w, 6gb)",8.0,GA107,DDR6,1375.0,6.0,622.0,96.0,2021.0,45.0
"geforce rtx 3050 (laptop, 50w)",8.0,GA107,DDR6,1375.0,4.0,735.0,128.0,2021.0,50.0
"geforce rtx 3050 (laptop, 50w, 6gb)",8.0,GA107,DDR6,1375.0,6.0,622.0,96.0,2021.0,50.0
"geforce rtx 3050 (laptop, 55w)",8.0,GA107,DDR6,1375.0,4.0,712.0,128.0,2021.0,55.0
"geforce rtx 3050 (laptop, 60w)",8.0,GA107,DDR6,1500.0,4.0,713.0,128.0,2021.0,60.0
"geforce rtx 3050 (laptop, 60w, 6gb)",8.0,GA107,DDR6,1375.0,6.0,622.0,96.0,2021.0,60.0
"geforce rtx 3050 (laptop, 63w, 6gb)",8.0,GA107,DDR6,1375.0,6.0,622.0,96.0,2021.0,63.0
"geforce rtx 3050 (laptop, 65w)",8.0,GA107,DDR6,1500.0,4.0,1237.0,128.0,2021.0,65.0
"geforce rtx 3050 (laptop, 65w, 6gb)",8.0,GA107,DDR6,1353.0,6.0,1162.0,96.0,2021.0,65.0
"geforce rtx 3050 (laptop, 70w, 6gb)",8.0,GA107,DDR6,1353.0,6.0,1162.0,96.0,2021.0,70.0
"geforce rtx 3050 (laptop, 75w)",8.0,GA107,DDR6,1500.0,4.0,1237.0,128.0,2021.0,75.0
"geforce rtx 3050 (laptop, 75w, 6gb)",8.0,GA107,DDR6,1750.0,6.0,1237.0,96.0,2021.0,75.0
"geforce rtx 3050 (laptop, 85w)",8.0,GA107,DDR6,1500.0,4.0,1237.0,128.0,2021.0,85.0
"geforce rtx 3050 (laptop, 90w)",8.0,GA107,DDR6,1500.0,4.0,1500.0,128.0,2021.0,90.0
"geforce rtx 3050 (laptop, 95w)",8.0,GA107,DDR6,1500.0,4.0,1238.0,128.0,2021.0,95.0
geforce rtx 3050 ti (laptop),8.0,GA107,DDR6,12000.0,4.0,1222.0,128.0,2021.25,80.0
geforce rtx 3050 ti (laptop),8.0,GA107,DDR6,12000.0,4.0,1222.0,128.0,2021.25,80.0
"geforce rtx 3050 ti (laptop, 40w)",8.0,GA107,DDR6,1500.0,4.0,800.0,128.0,2021.25,40.0
"geforce rtx 3050 ti (laptop, 45w)",8.0,GA107,DDR6,1500.0,4.0,800.0,128.0,2021.25,45.0
"geforce rtx 3050 ti (laptop, 50w)",8.0,GA107,DDR6,1375.0,4.0,735.0,128.0,2021.25,50.0
"geforce rtx 3050 ti (laptop, 60w)",8.0,GA107,DDR6,12000.0,4.0,1222.0,128.0,2021.25,60.0
"geforce rtx 3050 ti (laptop, 65w)",8.0,GA107,DDR6,1375.0,4.0,735.0,128.0,2021.25,65.0
"geforce rtx 3050 ti (laptop, 75w)",8.0,GA107,DDR6,1500.0,4.0,1222.0,128.0,2021.25,75.0
"geforce rtx 3050 ti (laptop, 80w)",8.0,GA107,DDR6,1500.0,4.0,1463.0,128.0,2021.25,80.0
"geforce rtx 3050 ti (laptop, 85w)",8.0,GA107,DDR6,1500.0,4.0,1463.0,128.0,2021.25,85.0
"geforce rtx 3050 ti (laptop, 90w)",8.0,GA107,DDR6,12000.0,4.0,1222.0,128.0,2021.25,90.0
"geforce rtx 3050 ti (laptop, 95w)",8.0,GA107,DDR6,1500.0,4.0,1222.0,128.0,2021.25,95.0
geforce rtx 3060 (laptop),8.0,GA106,DDR6,1750.0,6.0,1378.0,192.0,2021.0,130.0
geforce rtx 3060 (laptop),8.0,GA106,DDR6,1750.0,6.0,1378.0,192.0,2021.0,130.0
"geforce rtx 3060 (laptop, 100w)",8.0,GA106,DDR6,1750.0,6.0,900.0,192.0,2021.0,100.0
"geforce rtx 3060 (laptop, 105w)",8.0,GA106,DDR6,1750.0,6.0,900.0,192.0,2021.0,105.0
"geforce rtx 3060 (laptop, 105w)",8.0,GA106,DDR6,1750.0,6.0,900.0,192.0,2021.0,105.0
"geforce rtx 3060 (laptop, 120w)",8.0,GA106,DDR6,1750.0,6.0,1387.0,192.0,2021.0,120.0
"geforce rtx 3060 (laptop, 125w)",8.0,GA106,DDR6,1750.0,6.0,1387.0,192.0,2021.0,125.0
"geforce rtx 3060 (laptop, 130w)",8.0,GA106,DDR6,1750.0,6.0,1387.0,192.0,2021.0,130.0
"geforce rtx 3060 (laptop, 140w)",8.0,GA106,DDR6,1750.0,6.0,1387.0,192.0,2021.0,140.0
"geforce rtx 3060 (laptop, 65w)",8.0,GA106,DDR6,1500.0,6.0,817.0,192.0,2021.0,65.0
"geforce rtx 3060 (laptop, 70w)",8.0,GA106,DDR6,1500.0,6.0,817.0,192.0,2021.0,70.0
"geforce rtx 3060 (laptop, 75w)",8.0,GA106,DDR6,1750.0,6.0,817.0,192.0,2021.0,75.0
"geforce rtx 3060 (laptop, 80w)",8.0,GA106,DDR6,1750.0,6.0,900.0,192.0,2021.0,80.0
"geforce rtx 3060 (laptop, 85w)",8.0,GA106,DDR6,1750.0,6.0,900.0,192.0,2021.0,85.0
"geforce rtx 3060 (laptop, 90w)",8.0,GA106,DDR6,1750.0,6.0,900.0,192.0,2021.0,90.0
"geforce rtx 3060 (laptop, 95w)",8.0,GA106,DDR6,1750.0,6.0,900.0,192.0,2021.0,95.0
geforce rtx 3070 (laptop),8.0,Ampere,DDR6,1750.0,8.0,1215.0,256.0,2021.0,140.0
geforce rtx 3070 (laptop),8.0,Ampere,DDR6,1750.0,8.0,1215.0,256.0,2021.0,140.0
"geforce rtx 3070 (laptop, 100w)",8.0,Ampere,DDR6,1500.0,8.0,780.0,256.0,2021.0,100.0
"geforce rtx 3070 (laptop, 105w)",8.0,Ampere,DDR6,1500.0,8.0,1110.0,256.0,2021.0,105.0
"geforce rtx 3070 (laptop, 105w)",8.0,Ampere,DDR6,1500.0,8.0,1110.0,256.0,2021.0,105.0
"geforce rtx 3070 (laptop, 110w)",8.0,Ampere,DDR6,1500.0,8.0,780.0,256.0,2021.0,110.0
"geforce rtx 3070 (laptop, 130w)",8.0,Ampere,DDR6,1750.0,8.0,1215.0,256.0,2021.0,130.0
"geforce rtx 3070 (laptop, 140w)",8.0,Ampere,DDR6,1750.0,8.0,1215.0,256.0,2021.0,140.0
"geforce rtx 3070 (laptop, 85w)",8.0,Ampere,DDR6,1500.0,8.0,780.0,256.0,2021.0,85.0
"geforce rtx 3070 (laptop, 95w)",8.0,Ampere,DDR6,1500.0,8.0,780.0,256.0,2021.0,95.0
geforce rtx 3070 ti (laptop),8.0,GA104,DDR6,14000.0,8.0,915.0,256.0,2022.0,125.0
geforce rtx 3070 ti (laptop),8.0,GA104,DDR6,14000.0,8.0,915.0,256.0,2022.0,125.0
"geforce rtx 3070 ti (laptop, 105w)",8.0,GA104,DDR6,1500.0,8.0,510.0,256.0,2022.0,105.0
"geforce rtx 3070 ti (laptop, 115w)",8.0,GA104,DDR6,1500.0,8.0,510.0,256.0,2022.0,115.0
"geforce rtx 3070 ti (laptop, 120w)",8.0,GA104,DDR6,14000.0,8.0,915.0,256.0,2022.0,120.0
"geforce rtx 3070 ti (laptop, 130w)",8.0,GA104,DDR6,1750.0,8.0,915.0,256.0,2022.0,130.0
"geforce rtx 3070 ti (laptop, 140w)",8.0,GA104,DDR6,1500.0,8.0,510.0,256.0,2022.0,140.0
"geforce rtx 3070 ti (laptop, 150w)",8.0,GA104,DDR6,1750.0,8.0,915.0,256.0,2022.0,150.0
geforce rtx 3080 (laptop),8.0,GA104,DDR6,1750.0,16.0,1110.0,256.0,2021.0,165.0
geforce rtx 3080 (laptop),8.0,GA104,DDR6,1750.0,16.0,1110.0,256.0,2021.0,165.0
"geforce rtx 3080 (laptop, 100w)",8.0,GA104,DDR6,1750.0,16.0,1110.0,256.0,2021.0,100.0
"geforce rtx 3080 (laptop, 110w)",8.0,GA104,DDR6,1750.0,16.0,780.0,256.0,2021.0,110.0
"geforce rtx 3080 (laptop, 130w)",8.0,GA104,DDR6,1750.0,16.0,1185.0,256.0,2021.0,130.0
"geforce rtx 3080 (laptop, 140w)",8.0,GA104,DDR6,1750.0,16.0,1185.0,256.0,2021.0,140.0
"geforce rtx 3080 (laptop, 150w)",8.0,GA104,DDR6,1750.0,16.0,1185.0,256.0,2021.0,150.0
"geforce rtx 3080 (laptop, 165w)",8.0,GA104,DDR6,1750.0,16.0,1350.0,256.0,2021.0,165.0
"geforce rtx 3080 (laptop, 90w)",8.0,GA104,DDR6,1500.0,16.0,780.0,256.0,2021.0,90.0
"geforce rtx 3080 (laptop, 95w)",8.0,GA104,DDR6,1500.0,16.0,780.0,256.0,2021.0,95.0
geforce rtx 3080 ti (laptop),8.0,GA103,DDR6,14000.0,16.0,975.0,256.0,2022.0,165.0
geforce rtx 3080 ti (laptop),8.0,GA103,DDR6,14000.0,16.0,975.0,256.0,2022.0,165.0
"geforce rtx 3080 ti (laptop, 105w)",8.0,GA103,DDR6,14000.0,16.0,975.0,256.0,2022.0,105.0
"geforce rtx 3080 ti (laptop, 130w)",8.0,GA103S,DDR6,2000.0,16.0,975.0,256.0,2022.0,130.0
"geforce rtx 3080 ti (laptop, 150w)",8.0,GA103,DDR6,14000.0,16.0,975.0,256.0,2022.0,150.0
"geforce rtx 3080 ti (laptop, 165w)",8.0,GA103,DDR6,14000.0,16.0,975.0,256.0,2022.0,165.0
"geforce rtx 3080 ti (laptop, 175w)",8.0,GA103,DDR6,14000.0,16.0,975.0,256.0,2022.0,175.0
geforce rtx 4050 (laptop),4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,165.0
geforce rtx 4050 (laptop),4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,165.0
"geforce rtx 4050 (laptop, 100w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,100.0
"geforce rtx 4050 (laptop, 105w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,105.0
"geforce rtx 4050 (laptop, 115w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,115.0
"geforce rtx 4050 (laptop, 120w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,120.0
"geforce rtx 4050 (laptop, 130w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,130.0
"geforce rtx 4050 (laptop, 140w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,140.0
"geforce rtx 4050 (laptop, 35w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,35.0
"geforce rtx 4050 (laptop, 45w)",4.0,Ada Lovelace,DDR6,2000.0,6.0,1140.0,96.0,2023.0,45.0
"geforce rtx 4050 (laptop, 50w)",5.0,Ada Lovelace,DDR6,2000.0,6.0,1455.0,96.0,2023.0,50.0
"geforce rtx 4050 (laptop, 55w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,55.0
"geforce rtx 4050 (laptop, 60w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,60.0
"geforce rtx 4050 (laptop, 65w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,65.0
"geforce rtx 4050 (laptop, 75w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,75.0
"geforce rtx 4050 (laptop, 80w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,80.0
"geforce rtx 4050 (laptop, 90w)",4.0,Ada Lovelace,DDR6,16000.0,6.0,1605.0,96.0,2023.0,90.0
"geforce rtx 4050 (laptop, 95w)",4.0,Ada Lovelace,DDR6,2000.0,6.0,1785.0,96.0,2023.0,95.0
geforce rtx 4060 (laptop),4.0,Ada Lovelace,DDR6,16000.0,8.0,1470.0,128.0,2023.0,165.0
geforce rtx 4060 (laptop),4.0,Ada Lovelace,DDR6,16000.0,8.0,1470.0,128.0,2023.0,165.0
"geforce rtx 4060 (laptop, 100w)",4.0,Ada Lovelace,DDR6,16000.0,8.0,1470.0,128.0,2023.0,100.0
