GPU: Name,GPU: Process Size (nm),GPU: Architecture,GPU: Memory Type,GPU: Memory Frequency (MHz),GPU: Memory Size,GPU: Base Clock,GPU: Memory Bus,GPU: Release quarter,GPU: Power Consumption
quadro p620 (4gb gddr5),14.0,Pascal,DDR5,1502.0,4.0,1177.0,128.0,2018.0,40.0
quadro rtx 3000 (laptop),12.0,TU106,DDR6,1750.0,6.0,945.0,192.0,2019.25,80.0
quadro rtx 3000 max-q,12.0,TU106,DDR6,1500.0,6.0,600.0,192.0,2019.25,60.0
quadro rtx 4000 (laptop),12.0,TU104,DDR6,1750.0,8.0,1110.0,256.0,2019.25,110.0
quadro rtx 4000 max-q,12.0,TU104,DDR6,1500.0,8.0,780.0,256.0,2019.25,80.0
"quadro rtx 5000 (16gb gddr6, laptop)",12.0,TU104,DDR6,1750.0,16.0,1035.0,256.0,2019.25,110.0
quadro rtx 5000 max-q (16gb gddr6),12.0,TU104,DDR6,1500.0,16.0,600.0,256.0,2019.25,80.0
quadro t1000 (4gb gddr5),12.0,TU117,DDR5,2001.0,4.0,1395.0,128.0,2019.25,50.0
quadro t1000 max-q,12.0,TU117,DDR5,1250.0,4.0,765.0,128.0,2019.25,50.0
quadro t2000 (4gb gddr5),12.0,TU117,DDR5,2001.0,4.0,1575.0,128.0,2019.25,60.0
quadro t2000 max-q,12.0,TU117,DDR5,1250.0,4.0,1035.0,128.0,2019.25,40.0
quadro t550 (25w),,,DDR6,0.0,4.0,,0.0,2022.25,25.0
rtx 1000 ada generation,5.0,AD107,DDR6,2000.0,6.0,1485.0,96.0,2024.0,35.0
rtx 1000 ada generation (50w),5.0,Ada Lovelace,DDR6,2000.0,6.0,990.0,96.0,2024.0,50.0
rtx 2000 ada generation (50w),5.0,Ada Lovelace,DDR6,2000.0,8.0,1635.0,128.0,2023.0,50.0
rtx 2000 ada generation (65w),5.0,Ada Lovelace,DDR6,2000.0,8.0,1365.0,128.0,2023.0,65.0
rtx 2000 ada generation (80w),5.0,Ada Lovelace,DDR6,2000.0,8.0,1365.0,128.0,2023.0,80.0
rtx 2000 ada generation (laptop),5.0,Ada Lovelace,DDR6,2000.0,8.0,1635.0,128.0,2023.0,140.0
rtx 3000 ada generation (50w),5.0,Ada Lovelace,DDR6,2000.0,8.0,1005.0,128.0,2023.0,50.0
rtx 3000 ada generation (60w),5.0,Ada Lovelace,DDR6,2000.0,8.0,1005.0,128.0,2023.0,60.0
rtx 3000 ada generation (laptop),5.0,Ada Lovelace,DDR6,2000.0,8.0,1395.0,128.0,2023.0,115.0
rtx 3500 ada generation (laptop),5.0,Ada Lovelace,DDR6,2250.0,12.0,1110.0,192.0,2023.0,100.0
rtx 4000 ada generation (laptop),5.0,Ada Lovelace,DDR6,2250.0,12.0,1290.0,192.0,2023.0,110.0
rtx 500 ada generation,5.0,AD107,DDR6,2000.0,4.0,1485.0,64.0,2024.0,35.0
rtx 500 ada generation (35w),5.0,Ada Lovelace,DDR6,1500.0,4.0,,64.0,2024.0,35.0
rtx 5000 ada generation (105w),5.0,Ada Lovelace,DDR6,2250.0,16.0,1425.0,256.0,2023.0,105.0
rtx 5000 ada generation (95w),5.0,Ada Lovelace,DDR6,2250.0,16.0,1425.0,256.0,2023.0,95.0
rtx 5000 ada generation (laptop),5.0,Ada Lovelace,DDR6,2250.0,16.0,1425.0,256.0,2023.0,120.0
rtx a1000 (laptop),8.0,GA107,DDR6,1375.0,4.0,630.0,128.0,2022.0,60.0
rtx a1000 (laptop),8.0,GA107,DDR6,1375.0,4.0,630.0,128.0,2022.0,60.0
"rtx a1000 (laptop, 60w)",8.0,GA107,DDR6,1375.0,6.0,652.0,96.0,2022.0,60.0
"rtx a1000 (laptop, 65w, 6gb)",8.0,GA107,DDR6,1375.0,6.0,625.0,96.0,2022.0,65.0
"rtx a1000 (laptop, 95w)",8.0,GA107,DDR6,14000.0,4.0,1192.0,128.0,2022.0,95.0
rtx a2000 (laptop),8.0,GA106,DDR6,1500.0,4.0,1215.0,128.0,2021.25,95.0
rtx a2000 (laptop),8.0,GA106,DDR6,1500.0,4.0,1215.0,128.0,2021.25,95.0
"rtx a2000 (laptop, 65w)",8.0,GA106,DDR6,1500.0,4.0,1215.0,128.0,2021.25,65.0
"rtx a2000 (laptop, 80w)",8.0,GA106,DDR6,1500.0,4.0,1215.0,128.0,2021.25,80.0
rtx a3000 (laptop),8.0,GA104,DDR6,1375.0,6.0,600.0,192.0,2021.25,70.0
rtx a3000 (laptop),8.0,GA104,DDR6,1375.0,6.0,600.0,192.0,2021.25,70.0
"rtx a3000 (laptop, 135w)",8.0,GA104,DDR6,0.0,6.0,,192.0,2021.25,135.0
"rtx a3000 (laptop, 65w, 12gb)",8.0,GA104,DDR6,1750.0,12.0,855.0,192.0,2022.0,115.0
rtx a4000 (laptop),8.0,GA104,DDR6,1500.0,8.0,1140.0,256.0,2021.25,115.0
rtx a4000 (laptop),8.0,GA104,DDR6,1500.0,8.0,1140.0,256.0,2021.25,115.0
rtx a4500 (laptop),8.0,GA104,DDR6,2000.0,16.0,930.0,256.0,2022.0,140.0
"rtx a4500 (laptop, 135w)",8.0,GA104,DDR6,2000.0,8.0,855.0,256.0,2022.0,135.0
rtx a500 (laptop),8.0,GA107S,DDR6,1500.0,4.0,832.0,64.0,2022.0,
"rtx a500 (laptop, 30w)",8.0,GA107,DDR6,1500.0,4.0,832.0,64.0,2022.0,30.0
rtx a5000 (laptop),8.0,GA102,DDR6,0.0,16.0,,256.0,2021.25,165.0
rtx a5000 (laptop),8.0,GA102,DDR6,0.0,16.0,,256.0,2021.25,165.0
rtx a5500 (laptop),8.0,GA103,DDR6,2000.0,16.0,975.0,256.0,2022.0,165.0
rtx a5500 (laptop),8.0,GA103,DDR6,2000.0,16.0,975.0,256.0,2022.0,165.0
"rtx a5500 (laptop, 130w)",8.0,GA103S,DDR6,2000.0,16.0,975.0,256.0,2022.0,130.0
t1200,12.0,TU117,DDR6,1500.0,4.0,1515.0,128.0,2021.25,18.0
t500,12.0,TU117,DDR6,1250.0,4.0,1185.0,64.0,2020.75,18.0
t550,12.0,TU117,DDR6,1500.0,4.0,1065.0,64.0,2022.25,23.0
t600,12.0,TU117,DDR6,1500.0,4.0,780.0,128.0,2021.25,40.0
adreno 690,5.0,Adreno 600,shared,0.0,0.0,1700.0,0.0,2020.25,7.0
snapdragon x elite adreno gpu,4.0,Qualcomm Oryon,shared,0.0,0.0,,0.0,2024.25,45.0
