,GPU Name,Architecture,Foundry,Process Size,Transistors,Die Size,Release Date,Generation,Bus Interface,Base Clock,Boost Clock,Memory Clock,Memory Size,Memory Type,Memory Bus,Bandwidth,Shading Units,TMUs,ROPs,Compute Units,L1 Cache,L2 Cache,Pixel Rate,Texture Rate,FP32 (float),FP64 (double),TDP,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,SMM Count,SM Count,Tensor Cores,RT Cores,L0 Cache,L3 Cache,Name
558,Topaz,GCN 3.0,TSMC,28 nm,"1,550 million",125 mm²,2014,All-In-One,PCIe 3.0 x8,925 MHz,940 MHz,1000 MHz,1024 MB,GDDR5,128 bit,64.00 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,7.520 GPixel/s,22.56 GTexel/s,721.9 GFLOPS,,unknown,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R5 A255
559,Jet,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"Jan 7th, 2014",Gem System,PCIe 3.0 x8,,,1000 MHz,2 GB,DDR3,64 bit,16.00 GB/s,320,20,8,5.0,16 KB (per CU),128 KB,4.880 GPixel/s,12.20 GTexel/s,390.4 GFLOPS,24.40 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R5 M230
560,Jet,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"Jan 7th, 2014",Gem System,PCIe 3.0 x8,780 MHz,855 MHz,1000 MHz,4 GB,DDR3,64 bit,16.00 GB/s,320,20,8,5.0,16 KB (per CU),128 KB,6.840 GPixel/s,17.10 GTexel/s,547.2 GFLOPS,34.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R5 M230
561,Sun,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"May 31st, 2014",Gem System,PCIe 3.0 x8,780 MHz,850 MHz,900 MHz,1024 MB,DDR3,64 bit,14.40 GB/s,320,20,8,5.0,16 KB (per CU),128 KB,6.800 GPixel/s,17.00 GTexel/s,544.0 GFLOPS,34.00 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R5 M230 Rebrand
562,Jet,GCN 1.0,TSMC,28 nm,690 million,56 mm²,"Sep 18th, 2014",Gem System,PCIe 3.0 x8,1000 MHz,1030 MHz,900 MHz,1024 MB,DDR3,64 bit,14.40 GB/s,320,20,8,5.0,16 KB (per CU),128 KB,8.240 GPixel/s,20.60 GTexel/s,659.2 GFLOPS,41.20 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R5 M240
563,Mars,GCN 1.0,TSMC,28 nm,950 million,77 mm²,"Jan 10th, 2014",Gem System,PCIe 3.0 x8,650 MHz,700 MHz,900 MHz,1024 MB,DDR3,64 bit,14.40 GB/s,384,24,8,6.0,16 KB (per CU),128 KB,5.600 GPixel/s,16.80 GTexel/s,537.6 GFLOPS,33.60 GFLOPS,unknown,12,4.6,2.1 (1.2),1.2.170,6.5 (5.1),,,,,,,Radeon R5 M240 Rebrand
564,Topaz,GCN 3.0,TSMC,28 nm,"1,550 million",125 mm²,"Oct 12th, 2014",Gem System,PCIe 3.0 x8,925 MHz,940 MHz,1000 MHz,2 GB,DDR3,128 bit,32.00 GB/s,384,24,8,6.0,16 KB (per CU),256 KB,7.520 GPixel/s,22.56 GTexel/s,721.9 GFLOPS,45.12 GFLOPS,unknown,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R5 M255
565,Spectre SL,GCN 2.0,GlobalFoundries,28 nm,"2,410 million",245 mm²,"Sep 17th, 2014",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,256,16,8,4.0,,,5.008 GPixel/s,10.02 GTexel/s,320.5 GFLOPS,20.03 GFLOPS,17 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R5 Mobile Graphics
566,Beema,GCN 2.0,GlobalFoundries,28 nm,930 million,107 mm²,"Jun 14th, 2014",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,4,2.0,,,3.200 GPixel/s,6.400 GTexel/s,204.8 GFLOPS,12.80 GFLOPS,15 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R5 Mobile Graphics
567,Beema,GCN 2.0,GlobalFoundries,28 nm,930 million,107 mm²,"Jun 6th, 2014",GCN 2.0 IGP,IGP,,,System Shared,System Shared,System Shared,System Shared,System Dependent,128,8,4,2.0,,,3.200 GPixel/s,6.400 GTexel/s,204.8 GFLOPS,12.80 GFLOPS,15 W,12,4.6,2.1,1.2.170,6.5,,,,,,,Radeon R5E Mobile Graphics
