,Socket,Foundry,Process Size: ,Transistors,Die Size,Package,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,Base Clock,Multiplier,Multiplier Unlocked,TDP,Codename,Generation,Memory Support,LPDDR4x Speed,Rated Speed,Memory Bus,ECC Memory,PCI-Express,# of Cores,# of Threads,SMP # CPUs: ,Integrated Graphics,Cache L1,Cache L2,Cache L3,LPDDR5 Speed,P-Core Base,E-Core Frequency,Configurable TDP,LPDDR5x Speed,Hybrid Cores,I/O Process Size,I/O Die Size,XDNA NPU,PPT,3D V-Cache,E-Core L1,E-Core L2,Chipset,Launch Price,DDR4 Speed,SoC Tile Process,I/O Tile Process,Graphics Tile Process,LP E-Core Boost,AI Boost NPU,Maximum Power,Secondary PCIe,LP E-Cores,Tertiary PCIe,Minimum Power,PL1,PL2,DDR5 Speed,PCH PCIe,Min. Assured Freq.,Max. Assured Freq.,tCaseMax,P-Core Boost 3.0,PL2 Tau Limit,Chipsets,Retail Availability,Bundled Cooler,E-Core L3,Maximum Memory,AI Boost NPU 4,Max Power,Packaged Memory,Memory Capacity,Cache L0-D,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Boost 3.0,TDP-down Frequency,Configurable TDP-down,LPDDR4 Speed,Base Die Process,Base Die Transistors,Base Die Size,All Core Turbo,Bus Speed,TDP-Down Freq.,LPDDR3 Speed,TDP-Down Frequency,MSRP,TDP Range,eDRAM Process Size,eDRAM Die Size,Cache L4,TDP-Up Freq.,TDP-down,Radeon Graphics Die Size,Dedicated Graphics,DDR3L Speed,DMI Bus Speed,Voltage,Core Pipeline,Announcement
318,AMD Socket FP5,GlobalFoundries,12 nm,"4,940 million",210 mm²,FP5,95°C,Mobile,Active,"Apr 8th, 2019",YM350BC4T4MFG,2.1 GHz,up to 3.7 GHz,100 MHz,21.0x,No,15 W,Picasso,Ryzen 5,DDR4,,2400 MT/s,Dual-channel,No,Gen 3,4,8,1,Radeon Vega 8,96 KB (per core),512 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,AMD Socket FP5,GlobalFoundries,12 nm,"4,940 million",210 mm²,FP5,95°C,Mobile,Active,"Jan 6th, 2019",YM370BC4T4MFG,2.3 GHz,up to 4 GHz,100 MHz,23.0x,No,15 W,Picasso,Ryzen 7,DDR4,,,Dual-channel,No,Gen 3,4,8,1,Radeon Vega 10,96 KB (per core),512 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,AMD Socket FP5,GlobalFoundries,12 nm,"4,940 million",210 mm²,FP5,,Mobile,Active,"Jan 6th, 2019",YM3700C4T4MFG,2.3 GHz,up to 4 GHz,100 MHz,23.0x,No,35 W,Picasso,Ryzen 7,DDR4,,,Dual-channel,No,Gen 3,4,8,1,Radeon Vega 10,96 KB (per core),512 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,AMD Socket FP5,GlobalFoundries,12 nm,"4,940 million",210 mm²,FP5,,Mobile,Active,"Oct 22nd, 2019",unknown,2.3 GHz,up to 4 GHz,100 MHz,23.0x,No,15 W,Picasso,Ryzen 7,DDR4,,2400 MT/s,Dual-channel,No,Gen 3,4,8,1,Radeon Vega 11,96 KB (per core),512 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,AMD Socket FP5,GlobalFoundries,12 nm,"4,940 million",210 mm²,FP5,95°C,Mobile,Active,"Apr 8th, 2019",YM370BC4T4MFG,2.3 GHz,up to 4 GHz,100 MHz,23.0x,No,15 W,Picasso,Ryzen 7,DDR4,,,Dual-channel,No,Gen 3,4,8,1,Radeon Vega 10,96 KB (per core),512 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Intel BGA 1528,Intel,10 nm,,,FC-BGA14F,100°C,Mobile,End-of-life,"Jan 23rd, 2019",SRFG2,1800 MHz,N/A,100 MHz,18.0x,No,15 W,Whiskey Lake-U,Celeron,DDR4,,2133 MT/s,Dual-channel,No,"Gen 3, 12 Lanes",2,2,1,UHD Graphics 620,64 KB (per core),256 KB (per core),2 MB (shared),,,,12.5 W,,,,,,,,,,,$107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 MHz,1866 MT/s,,,,,,,,,,,,,,,
324,Intel BGA 1528,Intel,10 nm,,,FC-BGA14F,100°C,Mobile,End-of-life,"Apr 16th, 2019",SRFG1,2.2 GHz,N/A,100 MHz,22.0x,No,15 W,Whiskey Lake-U,Celeron,DDR4,,2133 MT/s,Dual-channel,No,"Gen 3, 16 Lanes",2,2,1,UHD Graphics 620,64 KB (per core),256 KB (per core),2 MB (shared),,,,12.5 W,,,,,,,,,,,$107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 MHz,1866 MT/s,,,,,,,,,,,,,,,
325,Intel BGA 1090,Intel,14 nm,,93 mm²,FC-BGA1090,105°C,Mobile,End-of-life,"Nov 4th, 2019",SRET3,2000 MHz,up to 2.9 GHz,100 MHz,20.0x,No,10 W,Gemini Lake,Celeron,DDR4,,2400 MT/s,Dual-channel,No,"Gen 2, 6 Lanes",2,2,1,UHD Graphics 600,56 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,$107,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Intel BGA 1090,Intel,14 nm,,93 mm²,FC-BGA1090,105°C,Mobile,End-of-life,"Nov 4th, 2019",SRGZ5,2000 MHz,up to 2.7 GHz,100 MHz,20.0x,No,10 W,Gemini Lake,Celeron,DDR4,,2400 MT/s,Dual-channel,No,"Gen 2, 6 Lanes",4,4,1,UHD Graphics 600,56 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,$107,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Intel BGA 1377,Intel,10 nm,,123 mm²,FC-BGA1377,100°C,Mobile,End-of-life,"Aug 1st, 2019",unknown,1100 MHz,up to 3.2 GHz,100 MHz,11.0x,No,9 W,Ice Lake-Y,Core i3,DDR4,,,Dual-channel,No,Gen 3,2,4,1,UHD Graphics (32EU),80 KB (per core),256 KB (per core),4 MB (shared),,,,8-12 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,800 MHz,,,,,,,,,,,,,,
328,Intel BGA 1377,Intel,10 nm,,123 mm²,FC-BGA1377,100°C,Mobile,End-of-life,"Aug 1st, 2019",unknown,1100 MHz,up to 3.2 GHz,100 MHz,11.0x,No,9 W,Ice Lake-Y,Core i3,DDR4,,,Dual-channel,No,Gen 3,2,4,1,Iris Plus (48EU),80 KB (per core),256 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,,,,,,,,,,,,,,
329,Intel BGA 1526,Intel,10 nm,,123 mm²,FC-BGA16F,,Mobile,Active,"Aug 1st, 2019",SRG0S,1200 MHz,up to 3.4 GHz,100 MHz,12.0x,No,15 W,Ice Lake-U,Core i3,DDR4,,3200 MT/s,Dual-channel,No,Gen 3,2,4,1,UHD Graphics,64 KB (per core),256 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,3733 MT/s,,,,,,,,,$281,13-15W,,,,,,,,,,,,
330,Intel BGA 1440,Intel,14 nm,,,FC-BGA1440,,Mobile,End-of-life,"Aug 21st, 2019",unknown,2.1 GHz,up to 4.1 GHz,100 MHz,21.0x,No,25 W,Comet Lake-U,Core i3,"DDR3, DDR4",,,,No,,2,4,1,UHD Graphics,64 KB (per core),256 KB (per core),4 MB (shared),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
