,link,name
513,/gpu-specs/radeon-r7e-mobile-graphics.c4041,Radeon R7E Mobile Graphics
514,/gpu-specs/radeon-r8-m435dx.c2944,Radeon R8 M435DX
515,/gpu-specs/radeon-r8-m445dx.c3128,Radeon R8 M445DX
516,/gpu-specs/radeon-r9-m470.c2856,Radeon R9 M470
517,/gpu-specs/radeon-r9-m470x.c2857,Radeon R9 M470X
518,/gpu-specs/radeon-r9-m485x.c2858,Radeon R9 M485X
519,/gpu-specs/radeon-rx-460-mobile.c3072,Radeon RX 460 Mobile
520,/gpu-specs/radeon-rx-470-mobile.c3070,Radeon RX 470 Mobile
521,/gpu-specs/radeon-rx-480-mobile.c3073,Radeon RX 480 Mobile
522,/gpu-specs/hd-graphics-505-mobile.c3155,HD Graphics 505 Mobile
523,/gpu-specs/hd-graphics-610-mobile.c3102,HD Graphics 610 Mobile
524,/gpu-specs/hd-graphics-615-mobile.c2910,HD Graphics 615 Mobile
525,/gpu-specs/hd-graphics-620-mobile.c2911,HD Graphics 620 Mobile
526,/gpu-specs/hd-graphics-630-mobile.c2961,HD Graphics 630 Mobile
527,/gpu-specs/hd-graphics-p630-mobile.c2965,HD Graphics P630 Mobile
528,/gpu-specs/geforce-920mx.c2826,GeForce 920MX
529,/gpu-specs/geforce-930mx.c2825,GeForce 930MX
530,/gpu-specs/geforce-940mx.c3113,GeForce 940MX
531,/gpu-specs/geforce-940mx.c2845,GeForce 940MX
532,/gpu-specs/geforce-940mx.c2797,GeForce 940MX
533,/gpu-specs/geforce-945m.c2836,GeForce 945M
534,/gpu-specs/geforce-gtx-1060-mobile.c3016,GeForce GTX 1060 Mobile
535,/gpu-specs/geforce-gtx-1070-mobile.c2869,GeForce GTX 1070 Mobile
536,/gpu-specs/geforce-gtx-1080-mobile.c2870,GeForce GTX 1080 Mobile
537,/gpu-specs/geforce-gtx-965m.c2796,GeForce GTX 965M
538,/gpu-specs/geforce-gtx-980mx.c2808,GeForce GTX 980MX
539,/gpu-specs/jetson-tx2.c3231,Jetson TX2
540,/gpu-specs/quadro-m500m.c2843,Quadro M500M
541,/gpu-specs/quadro-m5500-mobile.c2838,Quadro M5500 Mobile
542,/gpu-specs/firepro-m6100.c4063,FirePro M6100
543,/gpu-specs/firepro-s4000x.c2506,FirePro S4000X
544,/gpu-specs/firepro-w4170m.c2580,FirePro W4170M
545,/gpu-specs/firepro-w5170m.c2705,FirePro W5170M
546,/gpu-specs/firepro-w6170m.c2706,FirePro W6170M
547,/gpu-specs/radeon-e8860.c2550,Radeon E8860
548,/gpu-specs/radeon-hd-8210-igp.c2404,Radeon HD 8210 IGP
549,/gpu-specs/radeon-hd-8530m.c2388,Radeon HD 8530M
550,/gpu-specs/radeon-hd-8550m.c1905,Radeon HD 8550M
551,/gpu-specs/radeon-r4-mobile-graphics.c2496,Radeon R4 Mobile Graphics
552,/gpu-specs/radeon-r4-mobile-graphics.c3607,Radeon R4 Mobile Graphics
553,/gpu-specs/radeon-r4e-mobile-graphics.c4048,Radeon R4E Mobile Graphics
554,/gpu-specs/radeon-r5-a220.c2715,Radeon R5 A220
555,/gpu-specs/radeon-r5-a230.c2713,Radeon R5 A230
556,/gpu-specs/radeon-r5-a240.c2589,Radeon R5 A240
557,/gpu-specs/radeon-r5-a240.c2714,Radeon R5 A240
558,/gpu-specs/radeon-r5-a255.c2719,Radeon R5 A255
559,/gpu-specs/radeon-r5-m230.c2571,Radeon R5 M230
560,/gpu-specs/radeon-r5-m230.c2415,Radeon R5 M230
561,/gpu-specs/radeon-r5-m230-rebrand.c2586,Radeon R5 M230 Rebrand
562,/gpu-specs/radeon-r5-m240.c2416,Radeon R5 M240
563,/gpu-specs/radeon-r5-m240-rebrand.c2552,Radeon R5 M240 Rebrand
564,/gpu-specs/radeon-r5-m255.c2573,Radeon R5 M255
565,/gpu-specs/radeon-r5-mobile-graphics.c4113,Radeon R5 Mobile Graphics
566,/gpu-specs/radeon-r5-mobile-graphics.c3006,Radeon R5 Mobile Graphics
567,/gpu-specs/radeon-r5e-mobile-graphics.c4047,Radeon R5E Mobile Graphics
568,/gpu-specs/radeon-r6-m255dx.c2654,Radeon R6 M255DX
569,/gpu-specs/radeon-r6-m255dx.c2640,Radeon R6 M255DX
570,/gpu-specs/radeon-r6-mobile-graphics.c2630,Radeon R6 Mobile Graphics
571,/gpu-specs/radeon-r7-a260.c2718,Radeon R7 A260
572,/gpu-specs/radeon-r7-a265.c2650,Radeon R7 A265
573,/gpu-specs/radeon-r7-m260.c2591,Radeon R7 M260
574,/gpu-specs/radeon-r7-m260dx.c2639,Radeon R7 M260DX
575,/gpu-specs/radeon-r7-m260dx.c2655,Radeon R7 M260DX
576,/gpu-specs/radeon-r7-m260dx.c2805,Radeon R7 M260DX
577,/gpu-specs/radeon-r7-m265.c2484,Radeon R7 M265
578,/gpu-specs/radeon-r7-m265.c2572,Radeon R7 M265
579,/gpu-specs/radeon-r7-m265dx.c2653,Radeon R7 M265DX
580,/gpu-specs/radeon-r7-m265dx.c2656,Radeon R7 M265DX
581,/gpu-specs/radeon-r7-m265dx.c2804,Radeon R7 M265DX
582,/gpu-specs/radeon-r7-m270.c2657,Radeon R7 M270
583,/gpu-specs/radeon-r7-m270dx.c2652,Radeon R7 M270DX
584,/gpu-specs/radeon-r7-m270dx.c2806,Radeon R7 M270DX
585,/gpu-specs/radeon-r7-mobile-graphics.c2721,Radeon R7 Mobile Graphics
586,/gpu-specs/radeon-r9-m265x.c2579,Radeon R9 M265X
587,/gpu-specs/radeon-r9-m270x.c2213,Radeon R9 M270X
588,/gpu-specs/radeon-r9-m275.c2574,Radeon R9 M275
589,/gpu-specs/radeon-r9-m275x.c2658,Radeon R9 M275X
590,/gpu-specs/radeon-r9-m290x.c2546,Radeon R9 M290X
591,/gpu-specs/radeon-r9-m290x-mac-edition.c3770,Radeon R9 M290X Mac Edition
592,/gpu-specs/radeon-r9-m295x.c2670,Radeon R9 M295X
593,/gpu-specs/radeon-r9-m295x-mac-edition.c2587,Radeon R9 M295X Mac Edition
594,/gpu-specs/hd-graphics-5300-mobile.c2624,HD Graphics 5300 Mobile
595,/gpu-specs/hd-graphics-5500-mobile.c2625,HD Graphics 5500 Mobile
596,/gpu-specs/hd-graphics-5600-mobile.c3139,HD Graphics 5600 Mobile
597,/gpu-specs/hd-graphics-6000-mobile.c2626,HD Graphics 6000 Mobile
598,/gpu-specs/iris-graphics-6100-mobile.c2627,Iris Graphics 6100 Mobile
599,/gpu-specs/iris-pro-graphics-6200-mobile.c2628,Iris Pro Graphics 6200 Mobile
600,/gpu-specs/geforce-705a.c2386,GeForce 705A
601,/gpu-specs/geforce-710a.c2566,GeForce 710A
602,/gpu-specs/geforce-720a.c2666,GeForce 720A
603,/gpu-specs/geforce-800a.c2564,GeForce 800A
604,/gpu-specs/geforce-800a.c2673,GeForce 800A
605,/gpu-specs/geforce-800m.c2567,GeForce 800M
606,/gpu-specs/geforce-805a.c2671,GeForce 805A
607,/gpu-specs/geforce-810a.c2604,GeForce 810A
608,/gpu-specs/geforce-810m.c2584,GeForce 810M
609,/gpu-specs/geforce-820a.c2570,GeForce 820A
610,/gpu-specs/geforce-825m.c2547,GeForce 825M
611,/gpu-specs/geforce-830a.c2605,GeForce 830A
612,/gpu-specs/geforce-830m.c2560,GeForce 830M
613,/gpu-specs/geforce-840a.c2569,GeForce 840A
614,/gpu-specs/geforce-840m.c2539,GeForce 840M
615,/gpu-specs/geforce-gt-720a.c2379,GeForce GT 720A
616,/gpu-specs/geforce-gt-730a.c2387,GeForce GT 730A
617,/gpu-specs/geforce-gt-730m.c2307,GeForce GT 730M
618,/gpu-specs/geforce-gtx-760a.c2565,GeForce GTX 760A
619,/gpu-specs/geforce-gtx-850a.c2568,GeForce GTX 850A
620,/gpu-specs/geforce-gtx-850m.c2538,GeForce GTX 850M
621,/gpu-specs/geforce-gtx-860m.c2536,GeForce GTX 860M
622,/gpu-specs/geforce-gtx-860m.c2537,GeForce GTX 860M
623,/gpu-specs/geforce-gtx-870m.c2535,GeForce GTX 870M
624,/gpu-specs/geforce-gtx-880m.c2534,GeForce GTX 880M
625,/gpu-specs/geforce-gtx-970m.c2623,GeForce GTX 970M
626,/gpu-specs/geforce-gtx-970m.c2881,GeForce GTX 970M
627,/gpu-specs/geforce-gtx-980m.c2622,GeForce GTX 980M
628,/gpu-specs/geforce-gtx-980m.c2746,GeForce GTX 980M
629,/gpu-specs/jetson-tk1.c3229,Jetson TK1
630,/gpu-specs/quadro-k100m.c2618,Quadro K100M
631,/gpu-specs/quadro-k200m.c2617,Quadro K200M
632,/gpu-specs/quadro-k2200m.c2598,Quadro K2200M
