,link,name
89,/cpu-specs/core-i7-13850hx.c3019,Core i7-13850HX
90,/cpu-specs/core-i9-13900h.c3048,Core i9-13900H
91,/cpu-specs/core-i9-13900hk.c3047,Core i9-13900HK
92,/cpu-specs/core-i9-13900hx.c3018,Core i9-13900HX
93,/cpu-specs/core-i9-13905h.c3049,Core i9-13905H
94,/cpu-specs/core-i9-13950hx.c3017,Core i9-13950HX
95,/cpu-specs/core-i9-13980hx.c3016,Core i9-13980HX
96,/cpu-specs/processor-n100.c3007,Processor N100
97,/cpu-specs/processor-n200.c3008,Processor N200
98,/cpu-specs/processor-n50.c3010,Processor N50
99,/cpu-specs/processor-n95.c3185,Processor N95
100,/cpu-specs/processor-n97.c3009,Processor N97
101,/cpu-specs/processor-u300.c3072,Processor U300
102,/cpu-specs/processor-u300e.c3074,Processor U300E
103,/cpu-specs/ryzen-5-8500g.c3436,Ryzen 5 8500G
104,/cpu-specs/ryzen-5-pro-8540u.c3576,Ryzen 5 PRO 8540U
105,/cpu-specs/ryzen-5-pro-8640hs.c3575,Ryzen 5 PRO 8640HS
106,/cpu-specs/ryzen-5-pro-8640u.c3574,Ryzen 5 PRO 8640U
107,/cpu-specs/ryzen-5-pro-8645hs.c3573,Ryzen 5 PRO 8645HS
108,/cpu-specs/ryzen-7-pro-8840hs.c3571,Ryzen 7 PRO 8840HS
109,/cpu-specs/ryzen-7-pro-8840u.c3572,Ryzen 7 PRO 8840U
110,/cpu-specs/ryzen-7-pro-8845hs.c3570,Ryzen 7 PRO 8845HS
111,/cpu-specs/ryzen-9-pro-8945hs.c3569,Ryzen 9 PRO 8945HS
112,/cpu-specs/ryzen-ai-9-365.c3656,Ryzen AI 9 365
113,/cpu-specs/ryzen-ai-9-hx-370.c3655,Ryzen AI 9 HX 370
114,/cpu-specs/ryzen-ai-9-hx-375.c3815,Ryzen AI 9 HX 375
115,/cpu-specs/ryzen-embedded-8640u.c3581,Ryzen Embedded 8640U
116,/cpu-specs/ryzen-embedded-8645hs.c3580,Ryzen Embedded 8645HS
117,/cpu-specs/ryzen-embedded-8840u.c3578,Ryzen Embedded 8840U
118,/cpu-specs/ryzen-embedded-8845hs.c3577,Ryzen Embedded 8845HS
119,/cpu-specs/atom-x7203c.c3725,Atom x7203C
120,/cpu-specs/atom-x7211re.c3719,Atom x7211RE
121,/cpu-specs/atom-x7213re.c3720,Atom x7213RE
122,/cpu-specs/atom-x7405c.c3724,Atom x7405C
123,/cpu-specs/atom-x7433re.c3721,Atom x7433RE
124,/cpu-specs/atom-x7809c.c3723,Atom x7809C
125,/cpu-specs/atom-x7835re.c3722,Atom x7835RE
126,/cpu-specs/core-3-100u.c3461,Core 3 100U
127,/cpu-specs/core-5-120u.c3462,Core 5 120U
128,/cpu-specs/core-5-220u.c3470,Core 5 220U
129,/cpu-specs/core-7-150u.c3463,Core 7 150U
130,/cpu-specs/core-7-250u.c3466,Core 7 250U
131,/cpu-specs/core-ultra-5-226v.c3800,Core Ultra 5 226V
132,/cpu-specs/core-ultra-5-228v.c3799,Core Ultra 5 228V
133,/cpu-specs/core-ultra-5-236v.c3798,Core Ultra 5 236V
134,/cpu-specs/core-ultra-5-238v.c3797,Core Ultra 5 238V
135,/cpu-specs/core-ultra-7-256v.c3796,Core Ultra 7 256V
136,/cpu-specs/core-ultra-7-258v.c3795,Core Ultra 7 258V
137,/cpu-specs/core-ultra-7-266v.c3794,Core Ultra 7 266V
138,/cpu-specs/core-ultra-7-268v.c3793,Core Ultra 7 268V
139,/cpu-specs/core-ultra-9-288v.c3755,Core Ultra 9 288V
140,/cpu-specs/core-i5-14450hx.c3475,Core i5-14450HX
141,/cpu-specs/core-i5-14500hx.c3474,Core i5-14500HX
142,/cpu-specs/core-i7-14650hx.c3473,Core i7-14650HX
143,/cpu-specs/core-i7-14700hx.c3472,Core i7-14700HX
144,/cpu-specs/core-i9-14900hx.c3471,Core i9-14900HX
145,/cpu-specs/athlon-gold-7220u.c3044,Athlon Gold 7220U
146,/cpu-specs/athlon-silver-7120u.c3043,Athlon Silver 7120U
147,/cpu-specs/ryzen-3-5125c.c2785,Ryzen 3 5125C
148,/cpu-specs/ryzen-3-5425c.c2784,Ryzen 3 5425C
149,/cpu-specs/ryzen-3-5425u.c2519,Ryzen 3 5425U
150,/cpu-specs/ryzen-3-7320u.c3045,Ryzen 3 7320U
151,/cpu-specs/ryzen-3-pro-5475u.c2775,Ryzen 3 PRO 5475U
152,/cpu-specs/ryzen-5-5625c.c2783,Ryzen 5 5625C
153,/cpu-specs/ryzen-5-5625u.c2520,Ryzen 5 5625U
154,/cpu-specs/ryzen-5-6600h.c2525,Ryzen 5 6600H
155,/cpu-specs/ryzen-5-6600hs.c2524,Ryzen 5 6600HS
156,/cpu-specs/ryzen-5-6600u.c2522,Ryzen 5 6600U
157,/cpu-specs/ryzen-5-7520u.c3046,Ryzen 5 7520U
158,/cpu-specs/ryzen-5-pro-5675u.c2776,Ryzen 5 PRO 5675U
159,/cpu-specs/ryzen-5-pro-6650h.c2769,Ryzen 5 PRO 6650H
160,/cpu-specs/ryzen-5-pro-6650hs.c2770,Ryzen 5 PRO 6650HS
161,/cpu-specs/ryzen-5-pro-6650u.c2771,Ryzen 5 PRO 6650U
162,/cpu-specs/ryzen-7-5825c.c2782,Ryzen 7 5825C
163,/cpu-specs/ryzen-7-5825u.c2521,Ryzen 7 5825U
164,/cpu-specs/ryzen-7-6800h.c2527,Ryzen 7 6800H
165,/cpu-specs/ryzen-7-6800hs.c2526,Ryzen 7 6800HS
166,/cpu-specs/ryzen-7-6800u.c2523,Ryzen 7 6800U
167,/cpu-specs/ryzen-7-pro-5875u.c2777,Ryzen 7 PRO 5875U
168,/cpu-specs/ryzen-7-pro-6850h.c2766,Ryzen 7 PRO 6850H
169,/cpu-specs/ryzen-7-pro-6850hs.c2767,Ryzen 7 PRO 6850HS
170,/cpu-specs/ryzen-7-pro-6850u.c2768,Ryzen 7 PRO 6850U
171,/cpu-specs/ryzen-9-6900hs.c2528,Ryzen 9 6900HS
172,/cpu-specs/ryzen-9-6900hx.c2529,Ryzen 9 6900HX
173,/cpu-specs/ryzen-9-6980hs.c2530,Ryzen 9 6980HS
174,/cpu-specs/ryzen-9-6980hx.c2531,Ryzen 9 6980HX
175,/cpu-specs/ryzen-9-pro-6950h.c2765,Ryzen 9 PRO 6950H
