,Unnamed: 0,Socket,Foundry,Process Size: ,Transistors,Die Size,Package,tJMax,Market,Production Status,Release Date,Part#,Frequency,Turbo Clock,Base Clock,Multiplier,Multiplier Unlocked,TDP,Codename,Generation,Memory Support,LPDDR4x Speed,Rated Speed,Memory Bus,ECC Memory,PCI-Express,# of Cores,# of Threads,SMP # CPUs: ,Integrated Graphics,Cache L1,Cache L2,Cache L3,LPDDR5 Speed,P-Core Base,E-Core Frequency,Configurable TDP,LPDDR5x Speed,Hybrid Cores,I/O Process Size,I/O Die Size,XDNA NPU,PPT,3D V-Cache,E-Core L1,E-Core L2,Chipset,Launch Price,DDR4 Speed,SoC Tile Process,I/O Tile Process,Graphics Tile Process,LP E-Core Boost,AI Boost NPU,Maximum Power,Secondary PCIe,LP E-Cores,Tertiary PCIe,Minimum Power,PL1,PL2,DDR5 Speed,PCH PCIe,Min. Assured Freq.,Max. Assured Freq.,tCaseMax,P-Core Boost 3.0,PL2 Tau Limit,Chipsets,Retail Availability,Bundled Cooler,E-Core L3,Maximum Memory,AI Boost NPU 4,Max Power,Packaged Memory,Memory Capacity,Cache L0-D,TDP-up Frequency,All-Core Turbo,Configurable TDP-up,Boost 3.0,TDP-down Frequency,Configurable TDP-down,LPDDR4 Speed,Base Die Process,Base Die Transistors,Base Die Size,All Core Turbo,Bus Speed,TDP-Down Freq.,LPDDR3 Speed,TDP-Down Frequency,MSRP,TDP Range,eDRAM Process Size,eDRAM Die Size,Cache L4,TDP-Up Freq.,TDP-down,Radeon Graphics Die Size,Dedicated Graphics,DDR3L Speed,DMI Bus Speed,Voltage,Core Pipeline,Announcement,Name
454,454,Intel BGA 1168,Intel,14 nm,"1,900 million",133 mm²,FC-BGA14F,,Mobile,End-of-life,"Mar 1st, 2015",SR26A,2000 MHz,up to 3 GHz,100 MHz,20.0x,No,15 W,Broadwell-U,Core i7,DDR3,,1866 MT/s,Dual-channel,No,"Gen 2, 12 Lanes",2,4,1,Intel HD 6000,64 KB (per core),256 KB (per core),4 MB (shared),,,,9.5W,,,,,,,,,,,$426,,,,,,,,,,,,,,,,,,105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core i7-5550U
455,455,Intel BGA 1168,Intel,14 nm,"1,900 million",133 mm²,FC-BGA14F,,Mobile,End-of-life,"Mar 1st, 2015",SR26E,3.1 GHz,up to 3.4 GHz,100 MHz,31.0x,No,28 W,Broadwell-U,Core i7,DDR3,,1866 MT/s,Dual-channel,No,"Gen 2, 12 Lanes",2,4,1,Intel Iris 6100,64 KB (per core),256 KB (per core),4 MB (shared),,,,23W,,,,,,,,,,,$426,,,,,,,,,,,,,,,,,,105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core i7-5557U
456,456,Intel BGA 1168,Intel,14 nm,"1,300 million",82 mm²,FC-BGA14F,,Mobile,End-of-life,"Mar 1st, 2015",SR23V,2.6 GHz,up to 3.2 GHz,100 MHz,26.0x,No,15 W,Broadwell-U,Core i7,DDR3,,1600 MT/s,Dual-channel,No,"Gen 2, 12 Lanes",2,4,1,Intel HD 5500,64 KB (per core),256 KB (per core),4 MB (shared),,,,7.5W,,,,,,,,,,,$393,,,,,,,,,,,,,,,,,,105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core i7-5600U
457,457,Intel BGA 1168,Intel,14 nm,"1,900 million",133 mm²,FC-BGA14F,,Mobile,End-of-life,"Mar 1st, 2015",SR267,2.2 GHz,up to 3.2 GHz,100 MHz,22.0x,No,15 W,Broadwell-U,Core i7,DDR3,,1866 MT/s,Dual-channel,No,"Gen 2, 12 Lanes",2,4,1,Intel HD 6000,64 KB (per core),256 KB (per core),4 MB (shared),,,,9.5W,,,,,,,,,,,$426,,,,,,,,,,,,,,,,,,105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core i7-5650U
458,458,Intel BGA 1515,Intel,14 nm,,,FC-BGA1515,100°C,Mobile,End-of-life,"Sep 1st, 2015",SR2EN,900 MHz,up to 2.2 GHz,100 MHz,9.0x,No,5 W,Skylake-Y,Core m3,DDR3,,1866 MT/s,Dual-channel,No,"Gen 3, 10 Lanes",2,4,1,Intel HD 515,64 KB (per core),256 KB (per core),4 MB (shared),,,,3.8-7 W,,,,,,,,,,,$281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 2.0 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core m3-6Y30
459,459,Intel BGA 1515,Intel,14 nm,,,FC-BGA1515,100°C,Mobile,End-of-life,"Sep 1st, 2015",SR2EM,1100 MHz,up to 2.7 GHz,100 MHz,11.0x,No,5 W,Skylake-Y,Core m5,DDR3,,1866 MT/s,Dual-channel,No,"Gen 3, 10 Lanes",2,4,1,Intel HD 515,64 KB (per core),256 KB (per core),4 MB (shared),,,,3.5-7 W,,,,,,,,,,,$281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core m5-6Y54
460,460,Intel BGA 1515,Intel,14 nm,,,FC-BGA1515,100°C,Mobile,End-of-life,"Sep 1st, 2015",SR2EG,1100 MHz,up to 2.8 GHz,100 MHz,11.0x,No,5 W,Skylake-Y,Core m5,DDR3,,1866 MT/s,Dual-channel,No,"Gen 3, 10 Lanes",2,4,1,Intel HD 515,64 KB (per core),256 KB (per core),4 MB (shared),,,,3.5-7 W,,,,,,,,,,,$281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 2.4 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core m5-6Y57
461,461,Intel BGA 1515,Intel,14 nm,,,FC-BGA1515,100°C,Mobile,End-of-life,"Sep 1st, 2015",SR2EH,1200 MHz,up to 3.1 GHz,100 MHz,12.0x,No,5 W,Skylake-Y,Core m7,DDR3,,1866 MT/s,Dual-channel,No,"Gen 3, 10 Lanes",2,4,1,Intel HD 515,64 KB (per core),256 KB (per core),4 MB (shared),,,,3.5-7 W,,,,,,,,,,,$393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 2.9 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core m7-6Y75
462,462,Intel BGA 1168,Intel,14 nm,"1,300 million",82 mm²,FC-BGA14F,,Mobile,End-of-life,"Mar 1st, 2015",SR210,1900 MHz,,100 MHz,19.0x,No,15 W,Broadwell-U,Pentium,DDR3,,1600 MT/s,Dual-channel,No,"Gen 2, 12 Lanes",2,2,1,Intel HD,64 KB (per core),256 KB (per core),2 MB (shared),,,,10W,,,,,,,,,,,$161,,,,,,,,,,,,,,,,,,105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentium 3805U
463,463,Intel BGA 1168,Intel,14 nm,,,FC-BGA1168,,Mobile,End-of-life,"Mar 1st, 2015",SR24B,1900 MHz,,100 MHz,19.0x,No,15 W,Broadwell-U,Pentium,DDR3,,1600 MT/s,Dual-channel,No,"Gen 2, 12 Lanes",2,4,1,Intel HD,64 KB (per core),256 KB (per core),2 MB (shared),,,,10W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentium 3825U
